"Name (179)"	"Category"	"Rating"	"Nº Reviews"	"User"	"Stars"	"User Comment"	"domingo"	"lunes"	"martes"	"miércoles"	"jueves"	"viernes"	"sábado"	"Description"	"Plus Code"	"Address"	"City"	"Province"	"Url"	"Telephone"	"email"	"Claim"	"Latitude"	"Longitude"	"Url in Maps"	"Iframe"	"Image Url"	"id"	"Day N."	"Saved"	"hash"
"Restaurante Casa Amadeo"	"Bar de tapas"	"3,9"	"705"				"10:00 a 1:00"	"De 9:00 a 1:00"	"De 9:00 a 1:00"	"De 9:00 a 1:00"	"De 9:00 a 1:00"	"De 9:00 a 1:00"	"De 10:00 a 1:00"	""	"FJ6F+RM Valencia"	"Carrer de Sueca, 22, 46006 València, Valencia"	"Valencia"	"Valencia"	"restaurantecasaamadeo.com"	"963 44 03 52"	""	"No"	"39.4621341"	"-0.3757208"	"https://g.page/restaurantecasaamadeo?share"	""	"https://lh5.googleusercontent.com/p/AF1QipMJMsVCRVP6ZURHBjF702zt7mbIOpClfP29PoJw=w408-h725-k-no"	"10"	"0"	"0"
"La Tasqueta del Mercat"	"Restaurante"	"4,1"	"908"				"De 20:30 a 1:30"	"De 13:30 a 17:00"	"De 13:30 a 17:00"	"De 13:30 a 17:00"	"De 13:30 a 17:00,De 20:30 a 0:30"	"De 13:30 a 17:30,De 20:30 a 1:30"	"De 13:30 a 17:30,De 20:30 a 1:30"	""	"FJ6H+MP Valencia"	"Carrer del Mestre Aguilar, 2, 46006 València, Valencia"	"Valencia"	"Valencia"	"latasquetadelmercat.com"	"633 28 51 55"	""	"No"	"39.4617392"	"-0.3707326"	"https://g.page/latasquetadelmercat?share"	""	"https://lh5.googleusercontent.com/p/AF1QipNd-HcgjiqDswbCCwlkp7p6ckQxWNVp1DtzilsE=w408-h725-k-no"	"11"	"0"	"0"
"Savore Restaurante Ruzafa"	"Restaurante"	"4,0"	"84"				"16:00 a 1:00"	"Cerrado"	"De 16:00 a 1:00"	"De 16:00 a 1:00"	"De 16:00 a 1:00"	"De 16:00 a 1:00"	"De 16:00 a 1:00"	""	"FJ6H+C3 Valencia"	"Carrer de la Reina Na Maria, 2, 46004 València, Valencia"	"Valencia"	"Valencia"	"instagram.com"	""	""	"No"	"39.4610816"	"-0.3723618"	"https://goo.gl/maps/8UDje9WQQ9bkU2C96"	""	"https://lh5.googleusercontent.com/p/AF1QipP5OlKJZTC_PRc8ocsQfMXxqNPPMQCSnqOQtqGA=w427-h240-k-no"	"12"	"0"	"0"
"El Bouet"	"Restaurante"	"4,5"	"940"				"De 20:30 a 24:00"	"Cerrado"	"Cerrado"	"De 13:00 a 17:00,De 20:30 a 24:00"	"De 13:00 a 17:00,De 20:30 a 24:00"	"De 13:00 a 17:00,De 20:30 a 1:00"	"De 13:00 a 17:00,De 20:30 a 1:00"	""	"FJ7F+F3 Valencia"	"Gran Via de les Germanies, 34, 46006 Valencia"	"Valencia"	"Valencia"	"bouetrestaurant.es"	"960 07 07 89"	""	"No"	"39.4637125"	"-0.3773189"	"https://goo.gl/maps/bCJknugAG3VEffdk7"	""	"https://lh5.googleusercontent.com/p/AF1QipNRdlSTa37Cy9Nht_mnHSoa26MmJqIP79CpJb89=w408-h268-k-no"	"13"	"0"	"0"
"Capilla Bistro"	"Restaurante"	"4,6"	"57"				"14:00 a 0:30"	"Cerrado"	"Cerrado"	"De 14:00 a 0:30"	"De 14:00 a 0:30"	"De 14:00 a 0:30"	"De 14:00 a 0:30"	""	"FJ6J+GF Valencia"	"Carrer de Matias Perelló, 13, 46005 València, Valencia"	"Valencia"	"Valencia"	""	"610 58 41 85"	""	"No"	"39.4612529"	"-0.3687853"	"https://goo.gl/maps/hcSFmAdqxirJffmC7"	""	"https://lh5.googleusercontent.com/p/AF1QipPf4DCiaxH1REzpLBSNEkDV1olO1-sUmCD8RG__=w408-h545-k-no"	"14"	"0"	"0"
"MAUI RUSSAFA"	"Restaurante"	"4,6"	"760"				""	" "	" "	" "	" "	" "	""	""	"FJ6H+36 Valencia"	"Carrer dels Vivons, 27, 46006 València, Valencia"	"Valencia"	"Valencia"	""	"961 04 61 96"	""	"No"	"39.4602135"	"-0.3719315"	"https://goo.gl/maps/wzW1tNV97yFGLV4d9"	""	"https://lh5.googleusercontent.com/p/AF1QipNiyWs1xagT7JGSUNJQahxlx7AKVDDhO0bwXurk=w408-h408-k-no"	"15"	"0"	"0"
"La Bulería Tablao Flamenco"	"Restaurante de cocina española"	"4,6"	"649"				"Cerrado"	"Cerrado"	"Cerrado"	"Cerrado"	"De 20:00 a 22:30"	"De 20:00 a 22:30"	"De 20:00 a 22:30"	""	"FJ5M+8J Valencia"	"Carrer del Bisbe Jaume Pérez, 24, 46006 València, Valencia"	"Valencia"	"Valencia"	"labuleria.com"	""	""	"No"	"39.4583477"	"-0.3658752"	"https://g.page/labuleriavalencia?share"	""	"https://lh5.googleusercontent.com/p/AF1QipPtoYcLdk1odEnoz2Q6XKm-Baktcy7Aoo0Mc0d7=w480-h240-k-no"	"16"	"0"	"0"
"Casa Cus"	"Restaurante"	"4,9"	"50"				"Cerrado"	"Cerrado"	"De 13:00 a 16:00"	"De 13:00 a 16:00,De 19:30 a 23:00"	"De 13:00 a 16:00,De 19:30 a 23:00"	"De 13:00 a 16:00,De 19:30 a 23:00"	"De 13:00 a 16:00,De 19:30 a 23:30"	""	"FJ6G+HP Valencia"	"Carrer de Cadis, 47, 46004 València, Valencia"	"Valencia"	"Valencia"	""	"624 23 13 89"	""	"No"	"39.4614411"	"-0.3731987"	"https://goo.gl/maps/7Rr3FaKcYvB8rRWL8"	""	"https://lh5.googleusercontent.com/p/AF1QipO5e5JBjYolWT90FxqNPwzU6SMeNirJCJmnRORX=w408-h544-k-no"	"17"	"0"	"0"
"La chingada"	"Restaurante mexicano"	"4,4"	"1.951"				"13:00 a 24:00"	"De 17:00 a 24:00"	"De 13:00 a 24:00"	"De 13:00 a 24:00"	"De 13:00 a 24:00"	"De 13:00 a 24:00"	"De 13:00 a 24:00"	""	"FJ6G+VW Valencia"	"Carrer de Mossèn Femenia, 6, 46006 València, Valencia"	"Valencia"	"Valencia"	"lachingadaruzafa.com"	"963 23 71 57"	""	"No"	"39.4622105"	"-0.3727365"	"https://goo.gl/maps/MZ29NaUtuP8MxNLu8"	""	"https://lh5.googleusercontent.com/p/AF1QipP6WpSinGB0uu6-ZXy3LefLJIQM6p2V8rgH_QM3=w408-h306-k-no"	"18"	"0"	"0"
"Canalla Bistro by Ricard Camarena"	"Restaurante de fusión"	"4,4"	"3.428"				"De 20:00 a 24:00"	"De 20:00 a 24:00"	"De 20:00 a 24:00"	"De 20:00 a 24:00"	"De 20:00 a 24:00"	"De 13:30 a 17:00,De 20:00 a 24:00"	"De 13:30 a 17:00,De 20:00 a 24:00"	""	"FJ7J+C2 Valencia"	"Carrer del Mestre Josep Serrano, 5, 46005 València, Valencia"	"Valencia"	"Valencia"	"canallabistro.com"	"963 74 05 09"	""	"No"	"39.4635948"	"-0.3699989"	"https://g.page/canallabistrovlc?share"	""	"https://lh5.googleusercontent.com/p/AF1QipPxcOu0cWVgJQLhgYVaI21uz2eInVcHSxJIlCZ0=w408-h271-k-no"	"19"	"0"	"0"
